Var_Name,Grouping
Date,Date
product_id,Product
Dep_Var,Dep_Var
bookings,Dep_Var
Day,Seasonality
DayFriday,Seasonality
DaySaturday,Seasonality
DaySunday,Seasonality
month,Seasonality
TV_adstock,TV
xmas,Seasonality
Consumer.Confidence.Index,Consumer_Confidence
Exchange.Rate,Exchange_Rate
exchange_rate_moving_av,Exchange_Rate
Online.Visibility,Online_Visibility
average_weather_days,Weather
better_than_average_weather_days,Weather
worse_than_Average_weather_days,Weather
DayMonday,Seasonality
DayTuesday,Seasonality
DayWednesday,Seasonality
DayThursday,Seasonality
Intercept,Base_Sales
